Format Version,1.21,Take Name,Take 2023-06-28 02.03.55 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-06-28 02.03.55.274 PM,Total Frames in Take,1021,Total Exported Frames,1021,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-4.700963,41.191803,9.875278,-0.110298,0.049733,0.106588,0.000554,1.439022,13.245772,6.584460,-0.192474,0.049224,-0.082258,0.000448,0.655420,31.169428,5.079549,-0.271436,0.049604,-0.292212,0.000624,-0.138195,0.043231,0.171884,-0.172603,0.038958,0.124026,-0.055404,0.044775,0.189732,-0.172906,0.053508,0.024157,-0.106269,0.055967,0.074652,-0.046506,0.057625,0.105068,-0.080372,0.053997,0.056853,-0.238504,0.041776,-0.142945,-0.200714,0.038430,0.009170,-0.223393,0.048583,-0.105059,-0.172906,0.053508,0.024157,-0.209564,0.060797,-0.184621,-0.139813,0.049133,-0.030799,-0.162385,0.052251,-0.145722,-0.296346,0.038704,-0.223641,-0.209564,0.060797,-0.184621,-0.285115,0.051574,-0.366812,-0.199499,0.053563,-0.283622,-0.327605,0.044517,-0.334229,-0.310600,0.048496,-0.360448,-0.241243,0.053281,-0.252453,-0.159009,0.055123,0.029716,,,,,,,,,,,,,,,
7,0.058333,-4.701217,41.190926,9.877413,-0.110296,0.049732,0.106588,0.000555,1.438522,13.245777,6.584223,-0.192473,0.049224,-0.082259,0.000449,0.650619,31.166239,5.049577,-0.271444,0.049617,-0.292226,0.000649,-0.138195,0.043229,0.171884,-0.172600,0.038953,0.124027,-0.055403,0.044774,0.189735,-0.172906,0.053506,0.024156,-0.106266,0.055966,0.074650,-0.046501,0.057625,0.105070,-0.080370,0.054000,0.056853,-0.238499,0.041773,-0.142948,-0.200710,0.038438,0.009170,-0.223393,0.048581,-0.105056,-0.172906,0.053506,0.024156,-0.209565,0.060796,-0.184620,-0.139815,0.049129,-0.030801,-0.162382,0.052255,-0.145721,-0.296395,0.038758,-0.223733,-0.209565,0.060796,-0.184620,-0.285122,0.051583,-0.366812,-0.199502,0.053565,-0.283626,-0.327610,0.044515,-0.334224,-0.310596,0.048498,-0.360447,-0.241246,0.053279,-0.252439,-0.159007,0.055118,0.029719,,,,,,,,,,,,,,,
8,0.066667,-4.701632,41.192303,9.876756,-0.110296,0.049732,0.106591,0.000556,1.438383,13.245809,6.583737,-0.192473,0.049225,-0.082255,0.000447,0.655625,31.171021,5.080733,-0.271441,0.049608,-0.292211,0.000624,-0.138193,0.043232,0.171890,-0.172602,0.038951,0.124031,-0.055402,0.044775,0.189732,-0.172904,0.053507,0.024161,-0.106268,0.055969,0.074654,-0.046498,0.057626,0.105072,-0.080372,0.053996,0.056854,-0.238504,0.041771,-0.142945,-0.200712,0.038438,0.009172,-0.223393,0.048584,-0.105055,-0.172904,0.053507,0.024161,-0.209562,0.060800,-0.184616,-0.139810,0.049133,-0.030796,-0.162383,0.052251,-0.145714,-0.296347,0.038706,-0.223640,-0.209562,0.060800,-0.184616,-0.285131,0.051582,-0.366811,-0.199506,0.053565,-0.283623,-0.327616,0.044523,-0.334229,-0.310595,0.048497,-0.360450,-0.241242,0.053275,-0.252445,-0.159006,0.055127,0.029716,,,,,,,,,,,,,,,
9,0.075000,-4.699765,41.192051,9.873217,-0.110296,0.049733,0.106594,0.000555,1.433300,13.244742,6.581476,-0.192469,0.049219,-0.082246,0.000448,0.664534,31.170633,5.077260,-0.271439,0.049601,-0.292203,0.000617,-0.138196,0.043232,0.171892,-0.172605,0.038956,0.124039,-0.055400,0.044776,0.189733,-0.172903,0.053511,0.024162,-0.106265,0.055969,0.074657,-0.046501,0.057623,0.105075,-0.080368,0.053995,0.056859,-0.238498,0.041775,-0.142944,-0.200713,0.038435,0.009175,-0.223394,0.048582,-0.105049,-0.172903,0.053511,0.024162,-0.209546,0.060757,-0.184576,-0.139809,0.049131,-0.030790,-0.162382,0.052250,-0.145710,-0.296347,0.038704,-0.223640,-0.209546,0.060757,-0.184576,-0.285132,0.051585,-0.366814,-0.199498,0.053560,-0.283613,-0.327617,0.044517,-0.334225,-0.310603,0.048500,-0.360449,-0.241249,0.053273,-0.252440,-0.159022,0.055122,0.029707,,,,,,,,,,,,,,,
10,0.083333,-4.702721,41.192303,9.877014,-0.110298,0.049732,0.106596,0.000554,1.437948,13.244980,6.584675,-0.192475,0.049223,-0.082252,0.000448,0.652517,31.166321,5.049761,-0.271450,0.049618,-0.292223,0.000642,-0.138196,0.043231,0.171889,-0.172602,0.038954,0.124038,-0.055401,0.044777,0.189737,-0.172908,0.053504,0.024164,-0.106269,0.055967,0.074662,-0.046501,0.057625,0.105075,-0.080373,0.053996,0.056863,-0.238501,0.041769,-0.142939,-0.200717,0.038437,0.009178,-0.223393,0.048583,-0.105056,-0.172908,0.053504,0.024164,-0.209568,0.060796,-0.184614,-0.139812,0.049131,-0.030794,-0.162383,0.052251,-0.145710,-0.296397,0.038753,-0.223721,-0.209568,0.060796,-0.184614,-0.285138,0.051587,-0.366813,-0.199505,0.053562,-0.283618,-0.327616,0.044524,-0.334232,-0.310604,0.048496,-0.360447,-0.241242,0.053274,-0.252443,-0.159013,0.055125,0.029718,,,,,,,,,,,,,,,
11,0.091667,-4.703001,41.192539,9.878634,-0.110299,0.049732,0.106599,0.000554,1.438175,13.244878,6.585595,-0.192476,0.049222,-0.082249,0.000447,0.647064,31.158636,5.063447,-0.271425,0.049591,-0.292190,0.000645,-0.138196,0.043232,0.171898,-0.172603,0.038951,0.124039,-0.055403,0.044775,0.189740,-0.172908,0.053505,0.024169,-0.106270,0.055965,0.074663,-0.046506,0.057628,0.105081,-0.080373,0.053998,0.056862,-0.238505,0.041771,-0.142944,-0.200716,0.038433,0.009181,-0.223395,0.048580,-0.105049,-0.172908,0.053505,0.024169,-0.209568,0.060793,-0.184614,-0.139815,0.049130,-0.030789,-0.162386,0.052252,-0.145711,-0.296352,0.038700,-0.223638,-0.209568,0.060793,-0.184614,-0.285003,0.051481,-0.366705,-0.199506,0.053562,-0.283617,-0.327622,0.044524,-0.334228,-0.310608,0.048511,-0.360448,-0.241247,0.053264,-0.252435,-0.159019,0.055123,0.029717,,,,,,,,,,,,,,,
12,0.100000,-4.702811,41.191555,9.877861,-0.110300,0.049734,0.106597,0.000555,1.438430,13.245834,6.584912,-0.192478,0.049222,-0.082249,0.000448,0.654952,31.165888,5.048740,-0.271452,0.049619,-0.292222,0.000644,-0.138199,0.043233,0.171894,-0.172605,0.038952,0.124039,-0.055405,0.044778,0.189740,-0.172909,0.053508,0.024164,-0.106273,0.055969,0.074661,-0.046506,0.057630,0.105078,-0.080373,0.053996,0.056862,-0.238503,0.041772,-0.142940,-0.200721,0.038432,0.009179,-0.223400,0.048582,-0.105047,-0.172909,0.053508,0.024164,-0.209574,0.060794,-0.184613,-0.139812,0.049129,-0.030785,-0.162391,0.052252,-0.145713,-0.296396,0.038753,-0.223725,-0.209574,0.060794,-0.184613,-0.285135,0.051589,-0.366811,-0.199509,0.053562,-0.283616,-0.327620,0.044523,-0.334225,-0.310605,0.048508,-0.360447,-0.241266,0.053252,-0.252428,-0.159020,0.055123,0.029714,,,,,,,,,,,,,,,
13,0.108333,-4.704036,41.192825,9.881875,-0.110302,0.049732,0.106597,0.000556,1.439053,13.244669,6.585993,-0.192479,0.049221,-0.082249,0.000448,0.653051,31.165846,5.051133,-0.271451,0.049618,-0.292221,0.000646,-0.138200,0.043226,0.171892,-0.172602,0.038949,0.124038,-0.055403,0.044779,0.189741,-0.172911,0.053506,0.024170,-0.106275,0.055968,0.074659,-0.046508,0.057629,0.105077,-0.080377,0.053998,0.056860,-0.238506,0.041772,-0.142942,-0.200718,0.038429,0.009182,-0.223400,0.048579,-0.105049,-0.172911,0.053506,0.024170,-0.209573,0.060794,-0.184612,-0.139819,0.049128,-0.030787,-0.162388,0.052253,-0.145711,-0.296398,0.038754,-0.223728,-0.209573,0.060794,-0.184612,-0.285132,0.051587,-0.366807,-0.199509,0.053566,-0.283616,-0.327615,0.044516,-0.334223,-0.310606,0.048507,-0.360444,-0.241263,0.053259,-0.252434,-0.159014,0.055123,0.029710,,,,,,,,,,,,,,,
14,0.116667,-4.704219,41.192150,9.883725,-0.110306,0.049732,0.106597,0.000554,1.438404,13.245455,6.585733,-0.192481,0.049220,-0.082250,0.000447,0.653890,31.164278,5.047895,-0.271451,0.049615,-0.292222,0.000649,-0.138201,0.043225,0.171893,-0.172608,0.038945,0.124039,-0.055411,0.044777,0.189741,-0.172914,0.053505,0.024168,-0.106276,0.055967,0.074664,-0.046515,0.057631,0.105075,-0.080380,0.054000,0.056859,-0.238506,0.041771,-0.142938,-0.200720,0.038429,0.009175,-0.223398,0.048578,-0.105049,-0.172914,0.053505,0.024168,-0.209574,0.060792,-0.184612,-0.139820,0.049129,-0.030791,-0.162392,0.052250,-0.145709,-0.296403,0.038747,-0.223731,-0.209574,0.060792,-0.184612,-0.285130,0.051579,-0.366805,-0.199510,0.053561,-0.283617,-0.327617,0.044521,-0.334224,-0.310600,0.048505,-0.360449,-0.241266,0.053255,-0.252428,-0.159022,0.055117,0.029710,,,,,,,,,,,,,,,
15,0.125000,-4.705381,41.191582,9.883770,-0.110305,0.049731,0.106594,0.000555,1.439409,13.244994,6.589705,-0.192481,0.049220,-0.082254,0.000449,0.659017,31.170105,5.083147,-0.271449,0.049605,-0.292208,0.000626,-0.138201,0.043225,0.171891,-0.172609,0.038946,0.124036,-0.055410,0.044779,0.189737,-0.172916,0.053501,0.024163,-0.106277,0.055969,0.074657,-0.046511,0.057629,0.105078,-0.080377,0.053999,0.056857,-0.238511,0.041769,-0.142942,-0.200721,0.038425,0.009177,-0.223403,0.048577,-0.105055,-0.172916,0.053501,0.024163,-0.209575,0.060794,-0.184617,-0.139820,0.049131,-0.030795,-0.162385,0.052253,-0.145718,-0.296359,0.038692,-0.223640,-0.209575,0.060794,-0.184617,-0.285128,0.051580,-0.366806,-0.199514,0.053564,-0.283619,-0.327622,0.044519,-0.334223,-0.310609,0.048503,-0.360447,-0.241263,0.053261,-0.252434,-0.159022,0.055116,0.029716,,,,,,,,,,,,,,,
