Format Version,1.21,Take Name,Take 2023-07-06 12.25.47 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-07-06 12.25.47.841 AM,Total Frames in Take,2173,Total Exported Frames,2173,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.221560,3.896601,0.240971,-0.151376,0.052097,0.352394,0.000077,0.021416,6.786819,0.257529,-0.156309,0.052815,0.130232,0.000202,0.183940,11.480287,0.618592,-0.187876,0.049001,-0.079086,0.000076,-0.122628,0.046261,0.424804,-0.094112,0.044571,0.311871,-0.151660,0.062267,0.234339,-0.150486,0.048882,0.439310,-0.156351,0.056487,0.308910,-0.208481,0.054877,0.315282,-0.175913,0.051335,0.432242,-0.117545,0.046046,0.196308,-0.193729,0.052849,0.189887,-0.151660,0.062267,0.234339,-0.128120,0.052973,0.156858,-0.164111,0.059085,0.021831,-0.202291,0.051120,0.072744,-0.136708,0.045363,0.039653,-0.123174,0.043939,-0.069241,-0.136183,0.043672,-0.128351,-0.164111,0.059085,0.021831,-0.204626,0.036238,-0.177211,-0.247340,0.051626,-0.104224,-0.204696,0.056182,-0.051322,-0.234994,0.052264,-0.045093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.226936,3.900767,0.248616,-0.151370,0.052104,0.352392,0.000082,0.020201,6.787301,0.256616,-0.156309,0.052813,0.130232,0.000200,0.184680,11.479252,0.617726,-0.187878,0.048997,-0.079084,0.000075,-0.122588,0.046306,0.424791,-0.094112,0.044569,0.311873,-0.151661,0.062268,0.234340,-0.150484,0.048884,0.439306,-0.156351,0.056486,0.308911,-0.208481,0.054880,0.315282,-0.175913,0.051333,0.432241,-0.117542,0.046045,0.196309,-0.193728,0.052850,0.189883,-0.151661,0.062268,0.234340,-0.128122,0.052969,0.156855,-0.164114,0.059077,0.021835,-0.202288,0.051119,0.072745,-0.136709,0.045363,0.039653,-0.123177,0.043938,-0.069238,-0.136181,0.043670,-0.128346,-0.164114,0.059077,0.021835,-0.204630,0.036232,-0.177204,-0.247341,0.051627,-0.104228,-0.204695,0.056181,-0.051319,-0.234995,0.052260,-0.045093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.227850,3.900855,0.251164,-0.151371,0.052105,0.352391,0.000079,0.021292,6.786851,0.256419,-0.156309,0.052813,0.130230,0.000201,0.184537,11.480159,0.620133,-0.187877,0.048999,-0.079085,0.000075,-0.122591,0.046312,0.424794,-0.094113,0.044570,0.311869,-0.151661,0.062266,0.234335,-0.150484,0.048883,0.439308,-0.156354,0.056489,0.308911,-0.208483,0.054877,0.315279,-0.175909,0.051334,0.432241,-0.117545,0.046043,0.196304,-0.193728,0.052849,0.189884,-0.151661,0.062266,0.234335,-0.128119,0.052970,0.156856,-0.164110,0.059078,0.021833,-0.202289,0.051120,0.072742,-0.136709,0.045366,0.039650,-0.123177,0.043945,-0.069241,-0.136181,0.043669,-0.128347,-0.164110,0.059078,0.021833,-0.204628,0.036236,-0.177210,-0.247343,0.051624,-0.104224,-0.204697,0.056182,-0.051320,-0.234996,0.052260,-0.045094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.226353,3.901605,0.246169,-0.151370,0.052104,0.352389,0.000080,0.021251,6.787210,0.257876,-0.156309,0.052813,0.130230,0.000201,0.183995,11.480825,0.619840,-0.187877,0.049000,-0.079085,0.000076,-0.122591,0.046303,0.424789,-0.094115,0.044568,0.311866,-0.151661,0.062267,0.234335,-0.150483,0.048882,0.439306,-0.156352,0.056489,0.308911,-0.208480,0.054882,0.315279,-0.175908,0.051335,0.432239,-0.117545,0.046044,0.196305,-0.193727,0.052849,0.189885,-0.151661,0.062267,0.234335,-0.128122,0.052970,0.156854,-0.164110,0.059082,0.021832,-0.202290,0.051117,0.072744,-0.136709,0.045365,0.039651,-0.123174,0.043942,-0.069241,-0.136182,0.043672,-0.128349,-0.164110,0.059082,0.021832,-0.204628,0.036237,-0.177209,-0.247343,0.051623,-0.104222,-0.204694,0.056183,-0.051319,-0.234996,0.052263,-0.045092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.227035,3.901253,0.250710,-0.151372,0.052104,0.352390,0.000082,0.021071,6.786585,0.259868,-0.156310,0.052813,0.130229,0.000199,0.184793,11.480890,0.618003,-0.187878,0.049000,-0.079086,0.000075,-0.122591,0.046305,0.424786,-0.094112,0.044572,0.311871,-0.151665,0.062267,0.234337,-0.150485,0.048883,0.439305,-0.156353,0.056489,0.308909,-0.208486,0.054877,0.315281,-0.175913,0.051336,0.432240,-0.117543,0.046048,0.196302,-0.193728,0.052845,0.189883,-0.151665,0.062267,0.234337,-0.128125,0.052970,0.156850,-0.164110,0.059081,0.021831,-0.202292,0.051119,0.072740,-0.136709,0.045364,0.039654,-0.123178,0.043941,-0.069240,-0.136184,0.043671,-0.128352,-0.164110,0.059081,0.021831,-0.204630,0.036238,-0.177206,-0.247343,0.051628,-0.104224,-0.204696,0.056179,-0.051322,-0.234994,0.052264,-0.045095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.226750,3.901723,0.246785,-0.151371,0.052105,0.352392,0.000080,0.020487,6.787078,0.258506,-0.156311,0.052813,0.130231,0.000203,0.184148,11.480970,0.619669,-0.187879,0.048998,-0.079084,0.000076,-0.122591,0.046303,0.424789,-0.094114,0.044569,0.311870,-0.151660,0.062268,0.234336,-0.150485,0.048886,0.439310,-0.156357,0.056489,0.308916,-0.208485,0.054881,0.315285,-0.175909,0.051337,0.432240,-0.117547,0.046045,0.196306,-0.193731,0.052848,0.189886,-0.151660,0.062268,0.234336,-0.128125,0.052972,0.156855,-0.164111,0.059080,0.021831,-0.202296,0.051116,0.072742,-0.136710,0.045364,0.039651,-0.123181,0.043937,-0.069241,-0.136184,0.043673,-0.128347,-0.164111,0.059080,0.021831,-0.204629,0.036232,-0.177207,-0.247345,0.051625,-0.104221,-0.204698,0.056179,-0.051320,-0.234997,0.052259,-0.045089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.221293,3.897438,0.239604,-0.151377,0.052098,0.352395,0.000076,0.020944,6.787340,0.257536,-0.156309,0.052813,0.130231,0.000202,0.184850,11.480810,0.618275,-0.187879,0.048998,-0.079084,0.000077,-0.122629,0.046262,0.424809,-0.094112,0.044570,0.311871,-0.151662,0.062267,0.234341,-0.150486,0.048881,0.439307,-0.156354,0.056490,0.308908,-0.208485,0.054879,0.315285,-0.175914,0.051336,0.432245,-0.117543,0.046045,0.196307,-0.193726,0.052848,0.189885,-0.151662,0.062267,0.234341,-0.128120,0.052971,0.156855,-0.164114,0.059081,0.021827,-0.202289,0.051119,0.072745,-0.136708,0.045362,0.039652,-0.123183,0.043936,-0.069239,-0.136184,0.043671,-0.128346,-0.164114,0.059081,0.021827,-0.204632,0.036237,-0.177209,-0.247342,0.051625,-0.104220,-0.204695,0.056178,-0.051319,-0.234996,0.052261,-0.045087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.226983,3.901185,0.249189,-0.151370,0.052105,0.352393,0.000080,0.020190,6.787417,0.255192,-0.156309,0.052814,0.130232,0.000203,0.183579,11.479388,0.615478,-0.187877,0.048999,-0.079084,0.000076,-0.122589,0.046309,0.424795,-0.094112,0.044569,0.311870,-0.151660,0.062268,0.234338,-0.150484,0.048885,0.439314,-0.156352,0.056489,0.308912,-0.208483,0.054880,0.315285,-0.175911,0.051333,0.432243,-0.117543,0.046045,0.196308,-0.193725,0.052853,0.189888,-0.151660,0.062268,0.234338,-0.128123,0.052970,0.156859,-0.164112,0.059083,0.021828,-0.202287,0.051117,0.072745,-0.136710,0.045359,0.039652,-0.123182,0.043934,-0.069237,-0.136180,0.043667,-0.128347,-0.164112,0.059083,0.021828,-0.204627,0.036235,-0.177209,-0.247338,0.051625,-0.104224,-0.204695,0.056181,-0.051317,-0.234995,0.052267,-0.045088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.221654,3.897875,0.237523,-0.151375,0.052098,0.352395,0.000077,0.020214,6.787899,0.257841,-0.156309,0.052813,0.130233,0.000201,0.185807,11.479663,0.618123,-0.187876,0.048999,-0.079084,0.000075,-0.122628,0.046263,0.424804,-0.094111,0.044568,0.311871,-0.151659,0.062268,0.234339,-0.150481,0.048882,0.439307,-0.156350,0.056486,0.308916,-0.208483,0.054882,0.315288,-0.175912,0.051337,0.432245,-0.117543,0.046046,0.196308,-0.193726,0.052849,0.189887,-0.151659,0.062268,0.234339,-0.128121,0.052968,0.156858,-0.164113,0.059076,0.021835,-0.202290,0.051118,0.072747,-0.136710,0.045366,0.039651,-0.123175,0.043941,-0.069239,-0.136180,0.043670,-0.128347,-0.164113,0.059076,0.021835,-0.204629,0.036237,-0.177208,-0.247338,0.051626,-0.104225,-0.204694,0.056182,-0.051318,-0.234995,0.052262,-0.045091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.221834,3.897839,0.236198,-0.151374,0.052098,0.352396,0.000076,0.021240,6.786750,0.255152,-0.156307,0.052814,0.130234,0.000200,0.184158,11.479745,0.617977,-0.187875,0.048999,-0.079084,0.000076,-0.122628,0.046262,0.424807,-0.094108,0.044566,0.311871,-0.151659,0.062266,0.234340,-0.150483,0.048885,0.439310,-0.156353,0.056489,0.308914,-0.208482,0.054883,0.315286,-0.175908,0.051336,0.432243,-0.117544,0.046046,0.196312,-0.193724,0.052852,0.189886,-0.151659,0.062266,0.234340,-0.128120,0.052968,0.156855,-0.164109,0.059082,0.021831,-0.202288,0.051121,0.072748,-0.136707,0.045365,0.039658,-0.123178,0.043938,-0.069234,-0.136177,0.043671,-0.128349,-0.164109,0.059082,0.021831,-0.204627,0.036236,-0.177207,-0.247338,0.051626,-0.104223,-0.204694,0.056181,-0.051320,-0.234991,0.052262,-0.045092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.221449,3.897323,0.237297,-0.151375,0.052098,0.352397,0.000078,0.020713,6.786865,0.258012,-0.156308,0.052813,0.130234,0.000200,0.184885,11.479555,0.617141,-0.187877,0.048997,-0.079082,0.000075,-0.122626,0.046261,0.424809,-0.094110,0.044567,0.311873,-0.151661,0.062266,0.234345,-0.150486,0.048883,0.439310,-0.156349,0.056488,0.308917,-0.208482,0.054882,0.315288,-0.175912,0.051335,0.432242,-0.117544,0.046045,0.196307,-0.193725,0.052849,0.189886,-0.151661,0.062266,0.234345,-0.128123,0.052971,0.156857,-0.164110,0.059075,0.021836,-0.202290,0.051120,0.072745,-0.136707,0.045367,0.039654,-0.123180,0.043936,-0.069237,-0.136179,0.043669,-0.128345,-0.164110,0.059075,0.021836,-0.204625,0.036233,-0.177205,-0.247343,0.051623,-0.104220,-0.204697,0.056180,-0.051315,-0.234996,0.052265,-0.045091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.220948,3.897245,0.237641,-0.151375,0.052098,0.352397,0.000075,0.020484,6.787100,0.257639,-0.156309,0.052814,0.130235,0.000201,0.185019,11.480448,0.619007,-0.187876,0.048997,-0.079082,0.000075,-0.122628,0.046259,0.424808,-0.094109,0.044568,0.311877,-0.151660,0.062268,0.234341,-0.150481,0.048883,0.439316,-0.156352,0.056489,0.308915,-0.208483,0.054882,0.315283,-0.175910,0.051336,0.432244,-0.117545,0.046045,0.196309,-0.193727,0.052851,0.189889,-0.151660,0.062268,0.234341,-0.128120,0.052974,0.156861,-0.164110,0.059077,0.021837,-0.202290,0.051119,0.072745,-0.136710,0.045368,0.039657,-0.123179,0.043940,-0.069240,-0.136184,0.043667,-0.128347,-0.164110,0.059077,0.021837,-0.204624,0.036235,-0.177207,-0.247338,0.051624,-0.104221,-0.204693,0.056179,-0.051316,-0.234993,0.052259,-0.045087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
