Format Version,1.21,Take Name,Take 2023-06-27 01.24.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-06-27 01.24.14.158 PM,Total Frames in Take,3150,Total Exported Frames,3150,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-1.650944,-54.733196,-4.145603,-0.495834,0.048631,-0.064508,0.000194,0.477638,-4.585141,-2.054745,-0.397086,0.047765,-0.251012,0.000812,,,,,,,,-0.431491,0.045632,-0.046646,-0.480046,0.047169,-0.010596,-0.548454,0.053024,-0.101748,-0.449817,0.053074,-0.070667,-0.499884,0.050998,-0.137661,-0.565301,0.041888,-0.019728,-0.357607,0.044736,-0.186863,-0.352341,0.045494,-0.305014,-0.427405,0.047726,-0.320418,-0.420893,0.054183,-0.280124,-0.427175,0.046706,-0.162542,,,,,,,,,,,,,,,,0.009271,0.019995,0.013969,0.010039,0.019978,0.213942,0.159303,0.019990,0.013357,-0.404832,0.045356,-0.452470,-0.483656,0.046735,-0.369016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-1.654546,-54.733318,-4.151084,-0.495831,0.048631,-0.064508,0.000193,0.479308,-4.584675,-2.057771,-0.397082,0.047766,-0.251011,0.000811,,,,,,,,-0.431488,0.045629,-0.046644,-0.480040,0.047166,-0.010594,-0.548454,0.053026,-0.101748,-0.449816,0.053070,-0.070668,-0.499878,0.051001,-0.137663,-0.565294,0.041893,-0.019731,-0.357603,0.044732,-0.186864,-0.352339,0.045495,-0.305012,-0.427403,0.047729,-0.320415,-0.420888,0.054190,-0.280124,-0.427173,0.046705,-0.162540,,,,,,,,,,,,,,,,0.009271,0.019995,0.013971,0.010040,0.019978,0.213944,0.159302,0.019989,0.013358,-0.404823,0.045347,-0.452464,-0.483653,0.046738,-0.369016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-1.656915,-54.733303,-4.153715,-0.495830,0.048631,-0.064509,0.000190,0.479162,-4.586524,-2.062373,-0.397081,0.047765,-0.251011,0.000815,,,,,,,,-0.431491,0.045626,-0.046647,-0.480043,0.047170,-0.010601,-0.548449,0.053031,-0.101743,-0.449812,0.053070,-0.070669,-0.499877,0.050999,-0.137664,-0.565295,0.041892,-0.019732,-0.357604,0.044729,-0.186859,-0.352335,0.045490,-0.305011,-0.427400,0.047732,-0.320416,-0.420884,0.054193,-0.280129,-0.427172,0.046705,-0.162539,,,,,,,,,,,,,,,,0.009270,0.019998,0.013972,0.010040,0.019981,0.213945,0.159302,0.019989,0.013358,-0.404828,0.045344,-0.452463,-0.483657,0.046738,-0.369012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-1.655209,-54.734928,-4.158041,-0.495827,0.048631,-0.064506,0.000191,0.477455,-4.584823,-2.064262,-0.397079,0.047761,-0.251008,0.000812,,,,,,,,-0.431487,0.045622,-0.046640,-0.480042,0.047159,-0.010595,-0.548446,0.053035,-0.101745,-0.449810,0.053072,-0.070663,-0.499873,0.051005,-0.137662,-0.565287,0.041893,-0.019733,-0.357600,0.044726,-0.186861,-0.352335,0.045482,-0.305010,-0.427398,0.047727,-0.320413,-0.420887,0.054186,-0.280119,-0.427169,0.046704,-0.162537,,,,,,,,,,,,,,,,0.009271,0.019995,0.013971,0.010039,0.019980,0.213945,0.159304,0.019991,0.013357,-0.404823,0.045342,-0.452464,-0.483649,0.046745,-0.369015,-0.436628,0.052545,-0.411244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-1.657154,-54.735588,-4.162213,-0.495822,0.048633,-0.064503,0.000193,0.477972,-4.586109,-2.067696,-0.397075,0.047758,-0.251006,0.000814,,,,,,,,-0.431482,0.045620,-0.046639,-0.480036,0.047164,-0.010590,-0.548439,0.053042,-0.101745,-0.449805,0.053070,-0.070660,-0.499867,0.051010,-0.137657,-0.565290,0.041894,-0.019727,-0.357594,0.044723,-0.186856,-0.352329,0.045475,-0.305004,-0.427391,0.047729,-0.320414,-0.420886,0.054188,-0.280122,-0.427166,0.046700,-0.162536,,,,,,,,,,,,,,,,0.009272,0.019997,0.013971,0.010039,0.019981,0.213944,0.159303,0.019990,0.013360,-0.404820,0.045332,-0.452469,-0.483649,0.046754,-0.369008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-1.663930,-54.733288,-4.171760,-0.495818,0.048632,-0.064500,0.000193,0.478817,-4.587440,-2.074615,-0.397068,0.047761,-0.251010,0.000819,,,,,,,,-0.431478,0.045613,-0.046639,-0.480033,0.047154,-0.010587,-0.548437,0.053043,-0.101738,-0.449798,0.053066,-0.070661,-0.499863,0.051011,-0.137654,-0.565283,0.041903,-0.019722,-0.357595,0.044716,-0.186855,-0.352322,0.045475,-0.305014,-0.427385,0.047733,-0.320415,-0.420871,0.054197,-0.280132,-0.427160,0.046703,-0.162533,,,,,,,,,,,,,,,,0.009271,0.019992,0.013972,0.010040,0.019980,0.213946,0.159302,0.019990,0.013361,-0.404804,0.045336,-0.452468,-0.483646,0.046761,-0.369021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-1.662737,-54.733566,-4.176179,-0.495813,0.048633,-0.064501,0.000192,0.477140,-4.586574,-2.080057,-0.397062,0.047757,-0.251009,0.000816,,,,,,,,-0.431473,0.045609,-0.046638,-0.480029,0.047153,-0.010592,-0.548432,0.053050,-0.101739,-0.449792,0.053066,-0.070660,-0.499860,0.051019,-0.137652,-0.565278,0.041903,-0.019727,-0.357585,0.044712,-0.186855,-0.352317,0.045465,-0.305013,-0.427381,0.047735,-0.320418,-0.420866,0.054189,-0.280124,-0.427155,0.046705,-0.162536,,,,,,,,,,,,,,,,0.009273,0.019994,0.013970,0.010040,0.019979,0.213942,0.159305,0.019989,0.013358,-0.404805,0.045324,-0.452467,-0.483631,0.046771,-0.369019,-0.436601,0.052523,-0.411251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-1.668092,-54.734528,-4.186184,-0.495806,0.048633,-0.064503,0.000192,0.477782,-4.587433,-2.087255,-0.397060,0.047754,-0.251010,0.000817,,,,,,,,-0.431468,0.045605,-0.046640,-0.480023,0.047150,-0.010592,-0.548424,0.053062,-0.101740,-0.449785,0.053059,-0.070662,-0.499849,0.051021,-0.137656,-0.565275,0.041905,-0.019729,-0.357583,0.044704,-0.186855,-0.352317,0.045458,-0.305015,-0.427372,0.047737,-0.320417,-0.420866,0.054193,-0.280128,-0.427155,0.046703,-0.162534,,,,,,,,,,,,,,,,0.009275,0.019994,0.013970,0.010041,0.019979,0.213943,0.159303,0.019989,0.013358,-0.404798,0.045317,-0.452469,-0.483626,0.046765,-0.369018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-1.671783,-54.733707,-4.192360,-0.495802,0.048635,-0.064502,0.000191,0.477863,-4.587598,-2.091441,-0.397051,0.047754,-0.251012,0.000819,,,,,,,,-0.431465,0.045598,-0.046639,-0.480016,0.047149,-0.010589,-0.548421,0.053062,-0.101741,-0.449781,0.053060,-0.070663,-0.499846,0.051028,-0.137654,-0.565267,0.041912,-0.019728,-0.357573,0.044699,-0.186855,-0.352307,0.045454,-0.305013,-0.427366,0.047738,-0.320422,-0.420858,0.054195,-0.280130,-0.427146,0.046704,-0.162535,,,,,,,,,,,,,,,,0.009272,0.019996,0.013971,0.010041,0.019981,0.213943,0.159301,0.019990,0.013359,-0.404797,0.045322,-0.452478,-0.483625,0.046773,-0.369019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-1.671901,-54.733219,-4.192710,-0.495800,0.048633,-0.064500,0.000191,0.477948,-4.587417,-2.093156,-0.397051,0.047754,-0.251012,0.000818,,,,,,,,-0.431461,0.045596,-0.046637,-0.480020,0.047147,-0.010591,-0.548418,0.053061,-0.101734,-0.449778,0.053059,-0.070663,-0.499844,0.051026,-0.137651,-0.565266,0.041911,-0.019724,-0.357571,0.044696,-0.186853,-0.352307,0.045454,-0.305015,-0.427365,0.047741,-0.320421,-0.420859,0.054193,-0.280128,-0.427146,0.046708,-0.162540,,,,,,,,,,,,,,,,0.009274,0.019995,0.013970,0.010036,0.019981,0.213943,0.159301,0.019991,0.013356,-0.404799,0.045313,-0.452474,-0.483623,0.046776,-0.369014,-0.436593,0.052526,-0.411250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
