Format Version,1.21,Take Name,Take 2023-06-27 01.17.18 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-06-27 01.17.18.844 PM,Total Frames in Take,2176,Total Exported Frames,2176,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.198153,-43.724510,-0.259208,-0.299926,0.049350,-0.055742,0.000185,0.141975,-13.091654,0.166048,-0.200818,0.048986,-0.255677,0.000165,-0.036407,28.673647,-0.107381,-0.242787,0.047888,-0.461191,0.000073,-0.233349,0.049307,-0.050515,-0.274103,0.049780,-0.005828,-0.358756,0.050759,-0.082209,-0.256172,0.055488,-0.070677,-0.317965,0.049873,-0.126865,-0.359200,0.040890,0.001639,-0.171183,0.048013,-0.187067,-0.148541,0.048024,-0.302102,-0.220505,0.047492,-0.328452,-0.220258,0.053609,-0.287484,-0.243601,0.047793,-0.173281,-0.171466,0.047290,-0.455691,-0.261528,0.046847,-0.535679,-0.302677,0.046213,-0.500959,-0.266421,0.046288,-0.391202,-0.211846,0.052802,-0.422424,0.009570,0.019998,0.013471,0.010095,0.019985,0.213441,0.159597,0.020028,0.013051,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.198185,-43.724407,-0.256890,-0.299928,0.049350,-0.055745,0.000186,0.146632,-13.084929,0.160286,-0.200835,0.048995,-0.255673,0.000171,-0.037362,28.671850,-0.106248,-0.242780,0.047886,-0.461190,0.000074,-0.233348,0.049309,-0.050517,-0.274104,0.049781,-0.005832,-0.358759,0.050754,-0.082213,-0.256173,0.055490,-0.070678,-0.317968,0.049873,-0.126868,-0.359201,0.040893,0.001636,-0.171186,0.048009,-0.187067,-0.148541,0.048027,-0.302106,-0.220510,0.047490,-0.328446,-0.220334,0.053658,-0.287467,-0.243604,0.047792,-0.173279,-0.171463,0.047291,-0.455691,-0.261511,0.046846,-0.535678,-0.302673,0.046208,-0.500954,-0.266416,0.046288,-0.391203,-0.211842,0.052798,-0.422422,0.009570,0.019997,0.013473,0.010095,0.019988,0.213445,0.159597,0.020029,0.013051,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.196440,-43.725006,-0.254398,-0.299929,0.049352,-0.055747,0.000182,0.141672,-13.091335,0.166656,-0.200821,0.048986,-0.255679,0.000163,-0.041529,28.671923,-0.099541,-0.242780,0.047885,-0.461192,0.000068,-0.233353,0.049316,-0.050519,-0.274108,0.049785,-0.005834,-0.358759,0.050753,-0.082216,-0.256179,0.055491,-0.070680,-0.317968,0.049869,-0.126865,-0.359198,0.040898,0.001631,-0.171188,0.048012,-0.187071,-0.148545,0.048026,-0.302106,-0.220509,0.047492,-0.328452,-0.220262,0.053606,-0.287484,-0.243604,0.047795,-0.173285,-0.171465,0.047291,-0.455695,-0.261517,0.046852,-0.535684,-0.302656,0.046190,-0.500952,-0.266418,0.046290,-0.391202,-0.211846,0.052803,-0.422426,0.009569,0.019998,0.013473,0.010096,0.019986,0.213441,0.159597,0.020031,0.013049,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.197303,-43.722878,-0.254065,-0.299925,0.049352,-0.055751,0.000178,0.144480,-13.084660,0.160904,-0.200837,0.048995,-0.255677,0.000171,-0.039537,28.673681,-0.096348,-0.242783,0.047886,-0.461190,0.000070,-0.233354,0.049314,-0.050521,-0.274108,0.049784,-0.005833,-0.358762,0.050750,-0.082213,-0.256179,0.055491,-0.070684,-0.317967,0.049870,-0.126868,-0.359171,0.040900,0.001613,-0.171188,0.048014,-0.187074,-0.148544,0.048024,-0.302107,-0.220508,0.047487,-0.328455,-0.220343,0.053658,-0.287470,-0.243604,0.047793,-0.173280,-0.171466,0.047298,-0.455694,-0.261517,0.046852,-0.535678,-0.302669,0.046195,-0.500949,-0.266421,0.046283,-0.391201,-0.211843,0.052802,-0.422428,0.009570,0.019996,0.013470,0.010095,0.019987,0.213440,0.159594,0.020027,0.013049,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.196048,-43.723301,-0.254591,-0.299924,0.049354,-0.055752,0.000176,0.146875,-13.085402,0.164448,-0.200837,0.048996,-0.255676,0.000170,-0.039680,28.672251,-0.102664,-0.242782,0.047884,-0.461190,0.000070,-0.233353,0.049313,-0.050521,-0.274109,0.049789,-0.005834,-0.358760,0.050754,-0.082216,-0.256177,0.055495,-0.070680,-0.317970,0.049871,-0.126866,-0.359164,0.040903,0.001605,-0.171190,0.048015,-0.187070,-0.148545,0.048030,-0.302104,-0.220509,0.047491,-0.328453,-0.220341,0.053657,-0.287471,-0.243603,0.047790,-0.173282,-0.171470,0.047291,-0.455695,-0.261515,0.046843,-0.535678,-0.302665,0.046202,-0.500952,-0.266421,0.046285,-0.391201,-0.211843,0.052800,-0.422424,0.009569,0.020000,0.013469,0.010095,0.019987,0.213439,0.159594,0.020031,0.013047,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.257472,-43.736084,-0.219038,-0.299934,0.049333,-0.055757,0.000175,0.141354,-13.092090,0.169304,-0.200820,0.048984,-0.255678,0.000164,-0.041867,28.675426,-0.097192,-0.242787,0.047884,-0.461190,0.000070,-0.233352,0.049310,-0.050517,-0.274110,0.049783,-0.005833,-0.358757,0.050755,-0.082212,-0.256178,0.055491,-0.070682,-0.317969,0.049872,-0.126867,-0.359227,0.040782,0.001567,-0.171190,0.048012,-0.187072,-0.148542,0.048026,-0.302105,-0.220506,0.047486,-0.328451,-0.220261,0.053606,-0.287483,-0.243605,0.047793,-0.173280,-0.171471,0.047297,-0.455696,-0.261528,0.046845,-0.535678,-0.302671,0.046194,-0.500949,-0.266417,0.046286,-0.391203,-0.211851,0.052801,-0.422424,0.009569,0.020000,0.013470,0.010096,0.019987,0.213439,0.159595,0.020031,0.013047,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.256422,-43.735653,-0.219575,-0.299933,0.049331,-0.055753,0.000179,0.143920,-13.086016,0.159282,-0.200834,0.048993,-0.255675,0.000169,-0.039078,28.672882,-0.103885,-0.242784,0.047885,-0.461191,0.000071,-0.233347,0.049312,-0.050514,-0.274109,0.049780,-0.005830,-0.358760,0.050755,-0.082211,-0.256172,0.055488,-0.070677,-0.317971,0.049869,-0.126865,-0.359227,0.040783,0.001575,-0.171187,0.048009,-0.187068,-0.148542,0.048024,-0.302103,-0.220507,0.047487,-0.328453,-0.220334,0.053652,-0.287467,-0.243602,0.047796,-0.173283,-0.171464,0.047291,-0.455692,-0.261522,0.046849,-0.535684,-0.302669,0.046200,-0.500952,-0.266420,0.046290,-0.391204,-0.211846,0.052798,-0.422424,0.009571,0.019998,0.013471,0.010094,0.019988,0.213439,0.159598,0.020029,0.013047,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.256671,-43.736549,-0.220173,-0.299929,0.049333,-0.055754,0.000176,0.144446,-13.085607,0.160245,-0.200832,0.048995,-0.255674,0.000169,-0.038525,28.673931,-0.105565,-0.242785,0.047890,-0.461192,0.000074,-0.233344,0.049308,-0.050514,-0.274107,0.049784,-0.005830,-0.358753,0.050755,-0.082211,-0.256173,0.055491,-0.070681,-0.317962,0.049875,-0.126863,-0.359224,0.040783,0.001573,-0.171183,0.048010,-0.187071,-0.148538,0.048027,-0.302101,-0.220505,0.047488,-0.328451,-0.220334,0.053655,-0.287468,-0.243601,0.047797,-0.173280,-0.171467,0.047295,-0.455693,-0.261527,0.046850,-0.535682,-0.302672,0.046210,-0.500959,-0.266416,0.046294,-0.391201,-0.211845,0.052801,-0.422424,0.009574,0.019998,0.013475,0.010101,0.019985,0.213442,0.159598,0.020028,0.013052,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.251880,-43.735161,-0.224873,-0.299938,0.049330,-0.055752,0.000163,0.141117,-13.091342,0.167065,-0.200818,0.048987,-0.255676,0.000164,-0.036280,28.673176,-0.103061,-0.242784,0.047888,-0.461191,0.000073,-0.233346,0.049313,-0.050518,-0.274103,0.049782,-0.005829,-0.358753,0.050756,-0.082214,-0.256229,0.055465,-0.070662,-0.317966,0.049874,-0.126866,-0.359220,0.040787,0.001572,-0.171184,0.048014,-0.187069,-0.148538,0.048027,-0.302101,-0.220507,0.047493,-0.328450,-0.220259,0.053605,-0.287482,-0.243601,0.047797,-0.173280,-0.171467,0.047296,-0.455694,-0.261525,0.046853,-0.535682,-0.302668,0.046206,-0.500961,-0.266419,0.046289,-0.391199,-0.211843,0.052798,-0.422422,0.009574,0.019998,0.013473,0.010100,0.019987,0.213442,0.159600,0.020030,0.013051,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.195592,-43.723099,-0.257772,-0.299931,0.049349,-0.055741,0.000168,0.142057,-13.092042,0.168432,-0.200818,0.048985,-0.255675,0.000165,-0.041307,28.672735,-0.100193,-0.242784,0.047886,-0.461188,0.000071,-0.233349,0.049314,-0.050514,-0.274104,0.049787,-0.005826,-0.358758,0.050754,-0.082213,-0.256229,0.055468,-0.070664,-0.317965,0.049875,-0.126861,-0.359176,0.040895,0.001627,-0.171186,0.048012,-0.187069,-0.148539,0.048025,-0.302101,-0.220504,0.047489,-0.328447,-0.220259,0.053606,-0.287484,-0.243603,0.047791,-0.173276,-0.171467,0.047297,-0.455688,-0.261524,0.046845,-0.535677,-0.302668,0.046199,-0.500953,-0.266419,0.046289,-0.391203,-0.211844,0.052800,-0.422421,0.009573,0.019999,0.013473,0.010097,0.019988,0.213444,0.159598,0.020030,0.013048,,,,,,,,,,,,,,,,,,,,,,,,,,,
